"group"	"status"	"meta_file"	"corr_file"	"meta_rows"	"corr_rows"	"verified_rows"	"only_in_meta"	"only_in_corr"
"grp-07"	"ok"	"sub-01_ses-20260312_grp-07_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"sub-01_ses-20260312_grp-07_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"728"	"347"	"408"	"61"	"44"
"grp-08"	"ok"	"sub-01_ses-20260313_grp-08_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"sub-01_ses-20260313_grp-08_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"716"	"716"	"358"	"0"	"0"
"grp-09"	"ok"	"sub-01_ses-20260317_grp-09_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"sub-01_ses-20260317_grp-09_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"656"	"319"	"364"	"45"	"36"
"grp-10"	"ok"	"sub-01_ses-20260317_grp-10_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"sub-01_ses-20260317_grp-10_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"756"	"384"	"478"	"94"	"100"
"grp-11"	"ok"	"sub-01_ses-20260318_grp-11_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"sub-01_ses-20260318_grp-11_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"692"	"340"	"415"	"75"	"69"
"grp-12"	"ok"	"sub-01_ses-20260318_grp-12_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"sub-01_ses-20260318_grp-12_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"736"	"368"	"391"	"23"	"23"
"grp-13"	"ok"	"sub-01_ses-20260318_grp-13_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"sub-01_ses-20260318_grp-13_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"732"	"366"	"392"	"26"	"26"
"grp-14"	"ok"	"sub-01_ses-20260319_grp-14_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"sub-01_ses-20260319_grp-14_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"704"	"352"	"388"	"36"	"36"
"grp-15"	"ok"	"sub-01_ses-20260319_grp-15_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"sub-01_ses-20260319_grp-15_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"674"	"337"	"379"	"42"	"42"
"grp-16"	"ok"	"sub-01_ses-20260320_grp-16_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"sub-01_ses-20260320_grp-16_run01_task-T0T1T2T3T4_stimuli_answers_extracted.tsv"	"756"	"378"	"438"	"60"	"60"
