session_id	group_id	task	phase	onset_s	duration_s	expected_discussion_phase	is_discussion_start
ses-20260312_grp-07_run01	grp-07	T0	study_introduction	572.1	188.1	free_talk	False
ses-20260312_grp-07_run01	grp-07	T0	vad_introduction	760.2	100.3	free_talk	False
ses-20260312_grp-07_run01	grp-07	T0	postblock_introduction	860.5	16.2	free_talk	False
ses-20260312_grp-07_run01	grp-07	T0	free_talk	876.7	206.3	free_talk	True
ses-20260312_grp-07_run01	grp-07	T0	finish	1083.0	0.0	free_talk	False
ses-20260312_grp-07_run01	grp-07	T1	tobii_calibration	0.0	5.1	discussion_selection	False
ses-20260312_grp-07_run01	grp-07	T1	intro	5.1	55.6	discussion_selection	False
ses-20260312_grp-07_run01	grp-07	T1	evidence_card	60.7	76.4	discussion_selection	False
ses-20260312_grp-07_run01	grp-07	T1	discussion_selection	137.1	276.8	discussion_selection	True
ses-20260312_grp-07_run01	grp-07	T1	candidate_selection	413.9	21.9	discussion_selection	False
ses-20260312_grp-07_run01	grp-07	T1	finish	435.8	0.0	discussion_selection	False
ses-20260312_grp-07_run01	grp-07	T2	tobii_calibration	0.0	6.4	role_card	False
ses-20260312_grp-07_run01	grp-07	T2	shared_brief	6.4	57.9	role_card	False
ses-20260312_grp-07_run01	grp-07	T2	role_card	64.3	793.6	role_card	True
ses-20260312_grp-07_run01	grp-07	T2	settlement_form	857.9	43.6	role_card	False
ses-20260312_grp-07_run01	grp-07	T2	finish	901.5	0.0	role_card	False
ses-20260312_grp-07_run01	grp-07	T3	tobii_calibration	0.0	8.0	show_ideas_discussion	False
ses-20260312_grp-07_run01	grp-07	T3	instructions	8.0	73.0	show_ideas_discussion	False
ses-20260312_grp-07_run01	grp-07	T3	idea_generation	81.0	183.4	show_ideas_discussion	False
ses-20260312_grp-07_run01	grp-07	T3	show_ideas_discussion	264.3	413.9	show_ideas_discussion	True
ses-20260312_grp-07_run01	grp-07	T3	group_selection	678.2	18.9	show_ideas_discussion	False
ses-20260312_grp-07_run01	grp-07	T3	finish	697.1	0.0	show_ideas_discussion	False
ses-20260312_grp-07_run01	grp-07	T4	tobii_calibration	0.0	7.3	discussion	False
ses-20260312_grp-07_run01	grp-07	T4	shared_brief	7.3	58.6	discussion	False
ses-20260312_grp-07_run01	grp-07	T4	contribution_form	65.8	82.9	discussion	False
ses-20260312_grp-07_run01	grp-07	T4	discussion	148.8	196.2	discussion	True
ses-20260312_grp-07_run01	grp-07	T4	finish	344.9	0.0	discussion	False
ses-20260317_grp-09_run01	grp-09	T1	candidate_selection	0.0	23.6	discussion_selection	False
ses-20260317_grp-09_run01	grp-09	T1	finish	23.6	0.0	discussion_selection	False
ses-20260317_grp-09_run01	grp-09	T2	role_card	48.1	487.2	role_card	True
ses-20260317_grp-09_run01	grp-09	T2	settlement_form	535.3	62.8	role_card	False
ses-20260317_grp-09_run01	grp-09	T2	finish	598.1	0.0	role_card	False
