kind	feature	target	n	ICC	LR_stat	dof	LR_p	n_per_param	converged	underpowered	q
focal	tr_speaking_time_s	team_coordination	72	0.016	0.77	1	0.3818	24.0	True	False	0.7753
focal	tr_speaking_time_s	voice_inclusion	111	0.0	5.17	1	0.023	27.75	True	False	0.4224
focal	tr_speaking_time_s	mental_demand	110	0.0	0.22	1	0.6395	27.5	True	False	0.8863
focal	tr_speaking_time_s	satisfaction	75	0.0	1.63	1	0.2015	25.0	True	False	0.7753
focal	tr_overlap_time_s	team_coordination	72	0.016	1.68	1	0.1951	24.0	True	False	0.7753
focal	tr_overlap_time_s	voice_inclusion	111	0.0	3.18	1	0.0744	27.75	True	False	0.5169
focal	tr_overlap_time_s	mental_demand	110	0.0	0.78	1	0.3765	27.5	True	False	0.7753
focal	tr_overlap_time_s	satisfaction	75	0.0	3.18	1	0.0744	25.0	True	False	0.5169
focal	tr_backchannel_count	team_coordination	72	0.016	2.87	1	0.0903	24.0	True	False	0.5676
focal	tr_backchannel_count	voice_inclusion	111	0.0	8.75	1	0.0031	27.75	True	False	0.176
focal	tr_backchannel_count	mental_demand	110	0.0	0.0	1	0.9524	27.5	True	False	0.9925
focal	tr_backchannel_count	satisfaction	75	0.0	2.09	1	0.1485	25.0	True	False	0.726
focal	lex_ttr	team_coordination	72	0.016	1.54	1	0.2145	24.0	True	False	0.7753
focal	lex_ttr	voice_inclusion	111	0.0	6.85	1	0.0089	27.75	True	False	0.2937
focal	lex_ttr	mental_demand	110	0.0	0.01	1	0.9254	27.5	True	False	0.9925
focal	lex_ttr	satisfaction	75	0.0	0.64	1	0.4244	25.0	True	False	0.7904
focal	lex_sentiment_ratio	team_coordination	72	0.016	8.3	1	0.004	24.0	True	False	0.176
focal	lex_sentiment_ratio	voice_inclusion	111	0.0	4.64	1	0.0313	27.75	True	False	0.4224
focal	lex_sentiment_ratio	mental_demand	110	0.0	0.1	1	0.749	27.5	True	False	0.9145
focal	lex_sentiment_ratio	satisfaction	75	0.0	0.46	1	0.4969	25.0	True	False	0.8142
focal	lex_agreement_rate	team_coordination	72	0.016	0.04	1	0.8414	24.0	True	False	0.9575
focal	lex_agreement_rate	voice_inclusion	111	0.0	0.63	1	0.4257	27.75	True	False	0.7904
