#	group_id	task_id	onset_b	speaker_a	context_a_prev	text_a	speaker_b	text_b	gap_s	jaccard	candidate_type	is_completion	is_repetition
1	 grp-16  	 T2     	589.5	 P1       	 Should we vote? | UNINTELLIGIBLE                                                                                                                                                                                                                                                     	 yeah, sort of                                                                                                                                                              	 P3       	 We could go with four maybe                                                                                                                                                                                                                                     	-1.5	0.0	 completion    	0	0
2	 grp-07  	 T3     	584.0	 P1       	 but then it would be limited groups, and then the treasure hunt is like it would be interesting for certain age groups, the treasure hunt, but then the others will be bored, so I think something engaging for everyone would be like a charity concert. | No, but it's a nice idea.	 Can we do that?                                                                                                                                                            	 P3       	 Can we combine things?                                                                                                                                                                                                                                          	-1.34	0.3333333333333333	 completion    	0	0
3	 grp-12  	 T1     	437.9	 P3       	 That's a good question. | That's true.                                                                                                                                                                                                                                               	 All the skills in Python and machine learning would help if we were candidate B, but I think we already overlooked that.                                                   	 P1       	 That's not AI, is it?                                                                                                                                                                                                                                           	-1.07	0.0	 completion    	0	0
4	 grp-07  	 T2     	810.2	 P1       	 quite used on daily basis within certain or most of the teams. | It is mostly like, yes, we have a sustainability team, but then we also have all the other teams which indirectly contribute to sustainability, but not directly seen like that.                                    	 So I think something like an interactive workshop, again in my opinion, would actually create some good output in terms of the knowledge and stuff. So, uuh, if...         	 P3       	 So we give it a vote. I think we are out of time. So with the online training                                                                                                                                                                                   	-0.9	0.131578947368421	 completion    	0	0
5	 grp-13  	 T2     	579.9	 P2       	 I want to see it for idea. | Also vote for the number one in topics and but the lecture in Q&A that sometimes you have when you have the lectures, you have you can get a deeper understanding and ask questions in between.                                                         	 so that's that's what i would vote for                                                                                                                                     	 P3       	 Yeah, but I can...                                                                                                                                                                                                                                              	-0.88	0.1	 completion    	0	0
6	 grp-14  	 T3     	553.7	 P2       	 a lot of computers though that we have to | awesome                                                                                                                                                                                                                                  	 Can we make it, umm, like                                                                                                                                                  	 P4       	 Can we combine it and write a new idea now?                                                                                                                                                                                                                     	-0.77	0.1428571428571428	 completion    	0	0
7	 grp-14  	 T2     	276.8	 P2       	 I think it's relevant to what's going on at GN at the moment. | And it also just helps with productivity and effectiveness.                                                                                                                                                          	 But if you can get your work done quicker, then you can go home and                                                                                                        	 P1       	 Then you get more work.                                                                                                                                                                                                                                         	-0.72	0.2	 completion    	1	0
8	 grp-07  	 T3     	449.7	 P3       	 mmh | Oh, wow.                                                                                                                                                                                                                                                                       	 I didn't know that.                                                                                                                                                        	 P4       	 Yeah, like two or three years ago.                                                                                                                                                                                                                              	-0.65	0.0	 completion    	0	0
9	 grp-07  	 T2     	892.0	 P1       	 yeah | yeah                                                                                                                                                                                                                                                                          	 Now, I just did it                                                                                                                                                         	 P4       	 Just one of us.                                                                                                                                                                                                                                                 	-0.63	0.125	 completion    	0	0
10	 grp-15  	 T2     	229.0	 P3       	 Yes. | That could be, yeah, yeah.                                                                                                                                                                                                                                                    	 like?                                                                                                                                                                      	 P4       	 Like right now, we just rolled out the new day commitments.                                                                                                                                                                                                     	-0.63	0.0	 completion    	0	0
11	 grp-11  	 T1     	366.8	 P2       	 Yeah, I think it's a good choice. | Do we agree?                                                                                                                                                                                                                                     	 Okay, do you do it?                                                                                                                                                        	 P4       	 Yeah, so I'm sending candidate C. One, two, three, submit.                                                                                                                                                                                                      	-0.6	0.0	 completion    	0	0
12	 grp-07  	 T3     	676.5	 P4       	 Maybe with the HQ and the people who are coming from abroad seeing the office. | I think once they're here, I guess they would see it anyway, right? At least I would expect…                                                                                                        	 I would expect they would come to the office a couple of days. So they arrive earlier, see the office, and then we go, I don't know, Friday to Tivoli, something like that.	 P3       	 To round it off.                                                                                                                                                                                                                                                	-0.55	0.032258064516129	 completion    	0	0
13	 grp-14  	 T2     	687.1	 P1       	 So should we say three and four are more aligned? | with working across teams.                                                                                                                                                                                                       	 So...                                                                                                                                                                      	 P4       	 Yeah, I would go for the fourth one.                                                                                                                                                                                                                            	-0.54	0.0	 completion    	0	0
14	 grp-16  	 T3     	786.0	 P4       	 I'll do anything they tell me if they take me there. | No, I mean...                                                                                                                                                                                                                 	 yeah I think so                                                                                                                                                            	 P2       	 Because then I already know that it's going to be the luxury cruise. So I'm not completely sure but I'll go with                                                                                                                                                	-0.54	0.0833333333333333	 completion    	0	0
15	 grp-07  	 T2     	127.0	 P3       	 I think before we can decide format, we should maybe start with the topics. | Topic selection.                                                                                                                                                                                       	 Do you have any opinions on that?                                                                                                                                          	 P4       	 I have one topic which is people and culture.                                                                                                                                                                                                                   	-0.44	0.0666666666666666	 completion    	0	0
16	 grp-16  	 T3     	607.6	 P3       	 It was just an inclusive event for the entire organization | And also they have like                                                                                                                                                                                                 	 received a lot of money recently. So we can spend it                                                                                                                       	 P1       	 Now we have money                                                                                                                                                                                                                                               	-0.43	0.1538461538461538	 completion    	0	1
17	 grp-11  	 T2     	567.2	 P2       	 To use it, I can feel it on myself. | Yeah.                                                                                                                                                                                                                                          	 And you can do it whenever you want to.                                                                                                                                    	 P4       	 Yeah, I think I feel the opposite.                                                                                                                                                                                                                              	-0.42	0.0	 completion    	0	0
18	 grp-16  	 T1     	498.6	 P3       	 He has already helped with adopting new tools and processes in different teams and he also has like a strong knowledge of the why's. | Why should we be transforming or adopting something.                                                                                          	 But we have to decide by...                                                                                                                                                	 P1       	 We have to. We have to decide                                                                                                                                                                                                                                   	-0.4	0.5714285714285714	 completion    	0	1
19	 grp-15  	 T1     	371.0	 P1       	 So I think that's a strong pro. | And Candidate C also has experience in consulting.                                                                                                                                                                                                 	 I don't know if you know that.                                                                                                                                             	 P3       	 I mean, I was only missing the bit of the amount of experience, I would say, to say that that quote is almost exactly the same as what I have here for Candidate C. Like someone who basically...                                                               	-0.27	0.0277777777777777	 completion    	0	0
20	 grp-15  	 T3     	624.7	 P3       	 but the job swap could be something more | If we have a budget of half a million kroner to spend                                                                                                                                                                                     	 I think so.                                                                                                                                                                	 P1       	 Yeah, we have to choose one, okay.                                                                                                                                                                                                                              	-0.17	0.0	 completion    	0	0
21	 grp-07  	 T3     	503.4	 P4       	 We can also have the charity concert on the Tivoli stage. | mmh, yeah                                                                                                                                                                                                                	 Mmh, that's fun also.                                                                                                                                                      	 P2       	 and traditional, and I think it's also cheaper from the budget point of view. We only need to pay for the food.                                                                                                                                                 	-0.15	0.0	 completion    	0	0
