onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
92.000	21.000	MODERATOR	Please don't share your priorities with each other and your time has started.	SPK				shared	manual					
113.000	56.000	MODERATOR	And these are available topics on the screen and available formats.	SPK				shared	manual	0	0			
169.000	2.000	P1	Should we start with the topic maybe?	SPK				shared	manual	0	0	0		
171.000	1.000	P3	Yeah, yeah, go ahead.	SPK				shared	manual	0	0	0		
172.000	3.000	P1	No, I don't know.	SPK				shared	manual	0	0	0		1272
173.728	2.520	GROUP	[LAUGHTER]	LAU				shared	manual	-1272				2520
175.000	2.000	P1	Maybe just that starting point.	SPK				shared	manual	-1248	0	3000		1248
177.000	10.000	P1	I don't know, what do you guys think about the...	SPK				shared	manual	0	0	5000		3109
183.189	3.109	P3	mmh	BCK				shared	manual	-3811			6189	3109
187.000	2.000	P1	They're all really good topics.	SPK				shared	manual	702	0	15000		
189.000	3.000	P3	Yeah.	SPK				shared	manual	0	0	0		901
191.099	2.000	GROUP	[LAUGHTER]	LAU				shared	manual	-901				2000
192.000	3.000	P3	All right, there's a strong need.	SPK				shared	manual	-1099	0	3000		1099
195.000	2.000	P3	No, I wouldn't say need.	SPK				shared	manual	0	0	6000		
197.000	5.000	P3	There's a strong drive from management right now about AI for productivity in daily tasks.	SPK				shared	manual	0	0	8000		
202.000	5.000	P3	Like you could hear Igor talking about, we have to use AI.	SPK				shared	manual	0	0	13000		
207.000	0.100	P1	That is true	BCK				shared	manual	0			0	100
207.000	4.000	P3	So maybe it doesn't hurt to have one on that topic.	SPK				shared	manual	-100	0	18000		100
211.000	4.000	P2	Also that we just had to hire someone from the previous task, right?	SPK				shared	manual	0	0	0		
215.000	2.000	P2	Within AI.	SPK				shared	manual	0	0	4000		
217.000	2.000	P3	Yes.	SPK				shared	manual	0	0	0		1818
218.091	2.091	P2	Maybe that's something that the company wants to push, right?	SPK				shared	manual	-909	-909	-909		4182
218.091	0.909	P2	[OVL:competitive]	OVL	competitive			shared	manual	-2091				1818
219.000	2.000	P3	That could be, yeah, yeah.	SPK				shared	manual	0	-1182	-1182		2364
219.000	1.182	P3	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-2000				2364
221.000	8.000	P4	I feel like we should maybe prioritize some of the other topics.	SPK				shared	manual	818	0	0		5086
224.008	1.840	GROUP	[LAUGHTER]	LAU				shared	manual	-4992				1840
226.608	0.500	P3	yeah	BCK				shared	manual	760			5608	500
227.627	2.000	P3	like?	SPK				shared	manual	519	-1373	-1373		4000
227.627	1.373	P3	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-2000				2746
229.000	3.000	P4	Like right now, we just rolled out the new day commitments.	SPK				shared	manual	0	-627	-627		1254
229.000	0.627	P4	[OVL:competitive]	OVL	competitive			shared	manual	-3000				1254
232.000	4.000	P4	So maybe go down to some of the lower ones.	SPK				shared	manual	2373	0	2373		
236.000	6.000	P4	Also with all the change happening, like how to manage stress and workload at work.	SPK				shared	manual	0	0	6373		
242.000	7.000	P4	Like maybe focus a bit more on that instead of all of this AI focus we have right now than actually prioritize the people we have here.	SPK				shared	manual	0	0	12373		
249.000	5.000	P4	And like our work culture.	SPK				shared	manual	0	0	19373		500
252.901	0.500	P2	mmh	BCK				shared	manual	-1099			3901	500
254.000	9.611	P1	Yeah, I think it's an important one with managing the stress that can come out of this transformation that GN will go through.	SPK				shared	manual	599	0	0		2440
254.000	0.931	P4	Yeah,	BCK				shared	manual	-9611			0	1130
254.732	1.509	P3	mmh	BCK				shared	manual	-199			732	1708
263.611	1.389	GROUP	(1.4)	SIL				shared	manual	7370				
265.000	10.000	P1	And I know there's a lot of talk about AI, but in effect, what can also enhance productivity is people feeling well at work.	SPK				shared	manual	0	1389	11000		
275.000	2.000	P1	Every study suggests that.	SPK				shared	manual	0	0	21000		
277.000	12.000	P1	I'm also leaning towards if I would have to choose one of these topics, it would probably be stress and workload management.	SPK				shared	manual	0	0	23000		1000
277.091	0.500	P3	yeah	BCK				shared	manual	-11909			91	731
277.360	0.500	P2	mh	BCK				shared	manual	-231			360	731
289.000	5.000	P2	I think there might be a way to include that in the way we work across teams as well.	SPK				shared	manual	11140	0	0		500
291.912	0.500	P1	yeah	BCK				shared	manual	-2088			2912	500
294.000	11.000	P2	Because I think, especially for my job, you need to talk to a lot of different departments and explain what you are doing and everything.	SPK				shared	manual	1588	0	5000		
305.000	3.000	P2	And sometimes it's hard to get an answer.	SPK				shared	manual	0	0	16000		
308.000	6.000	P2	which can also, yeah, create some stress and workload that no one really catches, right?	SPK				shared	manual	0	0	19000		
314.000	10.000	P2	So being able to work better across teams might also be able to alleviate some of the stress that people can experience with the workload as well.	SPK				shared	manual	0	0	25000		
324.000	1.000	P4	Absolutely.	SPK				shared	manual	0	0	0		
325.000	1.000	P1	yeah	BCK				shared	manual	0				1000
325.000	1.000	GROUP	(1.0)	SIL				shared	manual	-1000				1000
326.000	15.000	P4	I just feel like right now with the changes happening, especially it might be better to focus on personal stuff and how much we have ourselves within Teams before cross-sectional, also knowing not who will move and who won't.	SPK				shared	manual	0	1000	2000		
341.000	5.000	P4	So I lean to more the stress and workload.	SPK				shared	manual	0	0	17000		829
345.171	1.720	P3	mmh	BCK				shared	manual	-829			4171	1720
346.000	3.000	P1	I can see both for me, yeah.	SPK				shared	manual	-891	0	0		891
349.000	15.000	P3	It's a good point, but I could say that we have spent so much time on changing about basically everyday work in GN and how we change in GN and all that, that we are just basically behind on the first two topics.	SPK				shared	manual	0	0	0		
364.000	10.000	P3	Like, I mean, we've been two years doing the oneGN, and I think right now it's about time to just, okay, catch up a little bit also on what we are missing.	SPK				shared	manual	0	0	15000		
374.000	8.000	P3	Because right now, we are basically consumers of AI, but we are not really delivering AI as a product.	SPK				shared	manual	0	0	25000		
382.000	7.000	P3	And the only way people understand that we can make a product would be that we become way and way more connected to this technology.	SPK				shared	manual	0	0	33000		
389.000	9.000	P3	And I agree that you can use that technology to release some of the workload that we have right now and the frictions that we have between teams, for example, if it's well integrated.	SPK				shared	manual	0	0	40000		
398.000	3.971	P3	So yeah, uhh yeah, that's how I would see it, of course.	SPK				shared	manual	0	0	49000		
401.971	3.029	GROUP	(3.0)	SIL				shared	manual	0				510
402.126	0.510	P1	er	FP				shared	manual	-2874				510
405.000	11.000	P2	do you see the stress coming from within the team or is it mostly when you have to explain your work or get the data from someone else? Or external?	SPK				shared	manual	2364	3029	3029		1331
406.531	0.300	P2	(0.3)	SIL				shared	manual	-9469				300
408.647	0.300	P2	(0.3)	SIL				shared	manual	1816				300
414.568	0.731	P2	(0.7)	SIL				shared	manual	5621				731
416.000	13.000	P4	I mean, in my team specifically, we need to manage all of the workload we have personally within our teams before we start talking cross-sectional.	SPK				shared	manual	701	0	0		
429.000	3.000	P4	I don't know how much you guys know about indirect procurement, but we're still a bit immature.	SPK				shared	manual	0	0	13000		
432.000	1.000	P4	So...	SPK				shared	manual	0	0	16000		
433.000	10.000	P4	I feel like managing stress and workload at work would be relevant across everyone despite...	SPK				shared	manual	0	0	17000		3500
433.000	2.000	P2	[OVL:collaborative]	OVL	collaborative			shared	manual	-10000				2500
433.560	0.500	P3	mmh	BCK				shared	manual	-1440			560	1000
441.440	0.500	P2	mmh	BCK				shared	manual	7380			8440	500
442.219	0.500	P2	Maturity level?	BCK	collaborative			shared	manual	279			9219	500
443.000	4.000	P4	So that might be a focus right now where we already have a lot of AI focus.	SPK				shared	manual	281	0	27000		500
443.539	0.500	P2	yeah	BCK	collaborative			shared	manual	-3461			539	500
447.000	8.000	P4	At least that's what I've noticed since I started that I've signed up for a few of the of the workshops that's been there and it's already happening a lot.	SPK				shared	manual	2961	0	31000		500
448.760	0.500	P2	mmh	BCK	collaborative			shared	manual	-6240			1760	500
455.000	3.000	P4	But the whole like managing stress and workload.	SPK				shared	manual	5740	0	39000		40
457.960	0.500	P2	mmh	BCK	collaborative			shared	manual	-40			2960	500
458.000	3.000	P2	i'm just thinking with the second one	SPK				shared	manual	-460	0	0		460
461.000	1.000	P4	the second one?	SPK				shared	manual	0	0	0		
462.000	14.000	P2	like it might be if you have like a team where you have to work or gather a lot of data or work with it i don't know how it's structured but having someone else rather	SPK				shared	manual	0	0	0		
476.000	24.952	P2	yeah yeah but other teams work or like understand your workload might also help with the stress like especially with timelines and like okay we have all these tasks maybe we can yeah divide them or at least the teams you work with might get a better understanding of when to push you and when to not and stuff like that if that makes sense	SPK				shared	manual	0	0	14000		23452
476.000	9.000	P2	yeah	BCK				shared	manual	-24952				9500
480.789	0.500	P4	mmh	BCK	collaborative			shared	manual	-4211			4789	1000
488.000	14.000	P2	yeah	BCK				shared	manual	6711				15000
496.474	0.500	P3	yeah	BCK	collaborative			shared	manual	-5526			20474	1000
499.114	0.500	P1	yeah	BCK	collaborative			shared	manual	2140			23114	1000
500.952	1.048	GROUP	(1.0)	SIL				shared	manual	1338				1048
502.000	5.248	P3	That was not really related to the AI, but it as related to the working across teams.	SPK				shared	manual	0	1048	1048		6796
504.000	2.000	P3	No, but it's good.	SPK				shared	manual	-3248	-3248	3048		4000
504.000	2.000	P3	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-2000				4000
506.000	0.100	P3	Number two.	SPK				shared	manual	0	0	5048		500
506.000	3.000	P1	Okay, so I think we have to maybe move on a bit.	SPK				shared	manual	-100	-100	-100		2796
506.000	0.100	P3	[OVL:smooth]	OVL	smooth			shared	manual	-3000				500
506.000	1.248	P1	[OVL:floor_fight]	OVL	floor_fight			shared	manual	-100				2796
506.000	0.100	P1	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-1248				500
509.000	1.000	P3	Yeah,	BCK				shared	manual	2900				1000
509.000	1.000	GROUP	(1.0)	SIL				shared	manual	-1000				1000
510.000	0.100	P4	Yeah, yeah, we have one minute left.	SPK				shared	manual	0	1000	1000		
510.100	2.900	GROUP	(2.9)	SIL				shared	manual	0				3019
