onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
189.892	1.872	MODERATOR	Now you have seven minutes.	SPK				shared	confident						
191.764	17.842	GROUP	(17.8)	SIL				shared	manual	0.0				2792.0	
203.806	0.925	P1	right	BCK				shared	manual	-5800.0				925.0	
205.314	0.5	P1	[BRE]	BRE				shared	manual	583.0				500.0	
206.541	0.5	P1	ehm	BCK				shared	manual	727.0				500.0	
208.739	2.0	P1	[SOFT LAUGHTER]	LAU				shared	manual	1698.0				2000.0	
209.606	5.154	P3	So, I mean, I have three profiles and I guess you have the same ones. That bit I didn’t get fully.	SPK				shared	confident	-1133.0	17842.0	17842.0		2464.0	
213.429	2.0	GROUP	[LAUGHTER]	LAU				shared	manual	-1331.0				2639.0	
214.76	0.78	GROUP	(0.8)	SIL				shared	manual	-669.0				1420.0	
214.79	2.0	GROUP	[LAUGHTER]	LAU				shared	manual	-750.0				3139.0	
215.539	0.5	P1	I guess	BCK				shared	manual	-1251.0				1000.0	
215.54	1.983	P3	But I see one that is like a manager.	SPK				shared	confident	-499.0	780.0	23776.0		2795.0	
217.0	6.824	P3	I see basically like someone who is like, ah, okay, deadlines and project manager and stuff like that.	SPK				shared	confident	-523.0	-523.0	25236.0		2694.0	
217.0	0.523	P3	[OVL:competitive]	OVL	competitive			shared	confident	-6824.0				1046.0	competitive
223.0	5.763	P3	Then one who is like a nerd who likes basically executing himself.	SPK				shared	confident	5477.0	-824.0	31236.0		3211.0	
223.0	0.824	P3	[OVL:competitive]	OVL	competitive			shared	uncertain	-5763.0				1648.0	
228.0	2.0	P3	And the other one is a good communicator.	SPK				shared	confident	4176.0	-763.0	36236.0		2026.0	
228.0	0.763	P3	[OVL:competitive]	OVL	competitive			shared	uncertain	-2000.0				1563.0	
228.726	0.5	P1	Ah	BCK				shared	manual	-37.0			726.0	574.0	
230.0	1.0	P3	That's how I understood.	SPK				shared	confident	774.0	0.0	38236.0			
231.0	1.332	P3	Do you understand the same?	SPK				shared	confident	0.0	0.0	39236.0			
232.332	0.668	GROUP	(0.7)	SIL				shared	manual	0.0				367.0	
232.633	0.928	P1	uhm	BCK				shared	manual	-367.0				928.0	
233.0	2.829	P1	Yeah. I agree	SPK				shared	confident	-561.0	668.0	668.0		1561.0	
234.511	0.5	P1	yeah	BCK				shared	manual	-1318.0				850.0	
234.661	0.5	P1	yeah	BCK				shared	manual	-350.0				850.0	
235.829	4.102	GROUP	(4.1)	SIL				shared	manual	668.0				2590.0	
237.023	1.59	P1	[SOFT LAUGHTER]	LAU				shared	manual	-2908.0				1590.0	
239.023	0.5	P1	yeah	BCK				shared	manual	410.0				958.0	
239.065	0.5	P1	yeah	BCK				shared	manual	-458.0				958.0	
239.931	2.341	P3	and agree on one final candidate as a group?	SPK				shared	confident	366.0	4102.0	4102.0		0.0	
242.272	1.236	GROUP	(1.2)	SIL				shared	manual	0.0				0.0	
243.508	0.92	P3	okay cool	SPK				shared	confident	0.0	1236.0	7679.0		856.0	
244.0	1.104	P1	Maybe we should	SPK				shared	confident	-428.0	-428.0	-428.0		856.0	
244.0	0.428	P1	[OVL:smooth]	OVL	smooth			shared	confident	-1104.0				856.0	
245.104	0.696	GROUP	(0.7)	SIL				shared	manual	676.0				513.0	
245.287	2.0	P1	[OVL:floor_fight]	OVL	floor_fight			shared	uncertain	-513.0				2574.0	collaborative
245.8	1.502	P4	See where we’re all standing?	SPK				shared	confident	-1487.0	696.0	696.0		2091.0	
247.0	3.0	P1	Yeah, define what would be a good candidate for this position, I guess.	SPK				shared	confident	-302.0	-302.0	-302.0		891.0	
