group_id	task_id	window_index	hmm_state_lexical
grp-07	T1	0	2
grp-07	T1	1	2
grp-07	T1	2	2
grp-07	T1	3	2
grp-07	T1	4	2
grp-07	T1	5	3
grp-07	T1	6	3
grp-07	T1	7	3
grp-07	T1	8	3
grp-07	T2	0	2
grp-07	T2	1	2
grp-07	T2	2	2
grp-07	T2	3	0
grp-07	T2	4	0
grp-07	T2	5	0
grp-07	T2	6	0
grp-07	T2	7	3
grp-07	T2	8	0
grp-07	T2	9	0
grp-07	T2	10	0
grp-07	T2	11	0
grp-07	T2	12	0
grp-07	T2	13	0
grp-07	T2	14	3
grp-07	T2	15	4
grp-07	T2	16	3
grp-07	T2	17	3
grp-07	T2	18	3
grp-07	T2	19	3
grp-07	T2	20	3
grp-07	T2	21	3
grp-07	T2	22	3
grp-07	T2	23	4
grp-07	T2	24	4
grp-07	T2	25	3
grp-07	T2	26	4
grp-07	T3	0	2
grp-07	T3	1	2
grp-07	T3	2	2
grp-07	T3	3	2
grp-07	T3	4	2
grp-07	T3	5	2
grp-07	T3	6	2
grp-07	T3	7	2
grp-07	T3	8	2
grp-07	T3	9	2
grp-07	T3	10	4
grp-07	T3	11	4
grp-07	T3	12	4
grp-08	T1	0	0
grp-08	T1	1	2
grp-08	T1	2	2
grp-08	T1	3	3
grp-08	T1	5	2
grp-08	T1	6	0
grp-08	T1	7	0
grp-08	T1	8	0
grp-08	T1	9	0
grp-08	T1	10	4
grp-08	T1	11	3
grp-08	T1	12	0
grp-08	T1	13	0
grp-08	T1	14	3
grp-08	T1	15	3
grp-08	T1	16	3
grp-08	T1	17	4
grp-08	T1	18	3
grp-08	T1	19	4
grp-08	T1	23	3
grp-08	T1	24	3
grp-08	T1	25	3
grp-08	T1	26	3
grp-08	T1	27	3
grp-08	T1	28	3
grp-08	T2	0	0
grp-08	T2	1	2
grp-08	T2	2	3
grp-08	T2	3	0
grp-08	T2	4	4
grp-08	T2	5	0
grp-08	T2	6	0
grp-08	T2	7	0
grp-08	T2	8	2
grp-08	T2	9	2
grp-08	T2	10	0
grp-08	T2	11	0
grp-08	T2	12	1
grp-08	T2	13	3
grp-08	T2	14	3
grp-08	T2	15	1
grp-08	T2	16	0
grp-08	T2	17	3
grp-08	T2	18	3
grp-08	T2	19	3
grp-08	T2	20	3
grp-08	T2	21	3
grp-08	T2	22	3
grp-08	T2	23	3
grp-08	T2	24	3
grp-08	T2	25	3
grp-08	T2	26	3
grp-08	T2	27	3
grp-08	T2	28	3
grp-08	T2	29	3
grp-08	T2	30	3
grp-08	T2	31	3
grp-08	T2	32	3
grp-08	T2	33	3
grp-08	T3	0	2
grp-08	T3	1	2
grp-08	T3	2	4
grp-08	T3	3	4
grp-08	T3	5	1
grp-08	T3	6	2
grp-08	T3	11	1
grp-08	T3	12	1
grp-08	T3	13	0
grp-08	T3	14	1
grp-08	T3	15	0
grp-08	T3	16	4
grp-08	T3	17	3
grp-08	T3	18	3
grp-08	T3	19	3
grp-08	T3	20	3
grp-08	T3	21	4
grp-08	T3	22	3
grp-08	T3	23	3
grp-08	T3	24	3
grp-08	T3	25	3
grp-08	T3	26	3
grp-08	T3	27	3
grp-08	T3	28	3
grp-08	T3	31	3
grp-09	T2	0	2
grp-09	T2	1	2
grp-09	T2	2	2
grp-09	T2	3	3
grp-09	T2	4	2
grp-09	T2	5	3
grp-09	T2	6	0
grp-09	T2	7	3
grp-09	T2	8	0
grp-09	T2	9	0
grp-09	T2	10	3
grp-09	T2	11	3
grp-09	T2	12	4
grp-09	T2	13	3
grp-09	T2	14	3
grp-09	T2	15	3
grp-09	T2	16	3
grp-09	T2	17	4
grp-09	T2	18	4
grp-09	T2	19	3
grp-09	T3	0	1
grp-09	T3	1	2
grp-09	T3	6	2
grp-09	T3	7	4
grp-09	T3	8	1
grp-09	T3	9	1
grp-09	T3	10	0
grp-09	T3	11	0
grp-09	T3	12	3
grp-09	T3	13	4
grp-09	T3	14	4
grp-09	T3	15	3
grp-09	T3	16	4
grp-09	T3	17	4
grp-09	T3	18	3
grp-09	T3	19	3
grp-09	T3	20	3
grp-09	T3	21	3
grp-09	T3	22	3
grp-09	T3	23	3
grp-09	T3	24	3
grp-10	T1	0	2
grp-10	T1	1	2
grp-10	T1	2	2
grp-10	T1	3	2
grp-10	T1	4	2
grp-10	T1	5	2
grp-10	T1	6	2
grp-10	T1	7	3
grp-10	T1	8	3
grp-10	T1	9	3
grp-10	T1	10	3
grp-10	T1	11	4
grp-10	T1	12	4
grp-10	T2	0	2
grp-10	T2	1	2
grp-10	T2	2	2
grp-10	T2	3	2
grp-10	T2	4	2
grp-10	T2	5	0
grp-10	T2	6	0
grp-10	T2	7	1
grp-10	T2	8	3
grp-10	T2	9	3
grp-10	T2	10	0
grp-10	T2	11	0
grp-10	T2	12	0
grp-10	T2	13	3
grp-10	T2	14	3
grp-10	T2	15	3
grp-10	T2	16	3
grp-10	T2	17	3
grp-10	T2	18	3
grp-10	T2	19	4
grp-10	T2	20	3
grp-10	T2	21	3
grp-10	T2	22	4
grp-10	T2	23	4
grp-10	T2	24	3
grp-10	T3	0	2
grp-10	T3	1	2
grp-10	T3	2	2
grp-10	T3	3	2
grp-10	T3	4	2
grp-10	T3	5	2
grp-10	T3	6	2
grp-10	T3	7	2
grp-10	T3	8	4
grp-10	T3	9	4
grp-10	T3	10	4
grp-10	T3	11	4
grp-10	T3	12	4
grp-11	T1	0	1
grp-11	T1	1	3
grp-11	T1	2	0
grp-11	T1	3	1
grp-11	T1	4	1
grp-11	T1	5	0
grp-11	T1	6	3
grp-11	T1	7	4
grp-11	T1	8	0
grp-11	T1	9	3
grp-11	T1	10	3
grp-11	T1	11	4
grp-11	T1	12	3
grp-11	T1	15	2
grp-11	T1	16	3
grp-11	T1	17	3
grp-11	T2	0	1
grp-11	T2	1	2
grp-11	T2	2	2
grp-11	T2	5	2
grp-11	T2	6	3
grp-11	T2	7	0
grp-11	T2	8	1
grp-11	T2	9	0
grp-11	T2	10	0
grp-11	T2	11	0
grp-11	T2	12	3
grp-11	T2	13	3
grp-11	T2	14	3
grp-11	T2	15	3
grp-11	T2	16	3
grp-11	T2	17	4
grp-11	T2	18	4
grp-11	T2	19	4
grp-11	T2	20	4
grp-11	T2	21	4
grp-11	T2	22	3
grp-11	T2	23	3
grp-11	T2	24	3
grp-11	T2	26	4
grp-11	T2	27	3
grp-11	T2	28	3
grp-11	T3	0	1
grp-11	T3	1	1
grp-11	T3	2	3
grp-11	T3	3	1
grp-11	T3	4	1
grp-11	T3	5	1
grp-11	T3	6	1
grp-11	T3	7	1
grp-11	T3	8	0
grp-11	T3	9	3
grp-11	T3	10	3
grp-11	T3	11	3
grp-11	T3	12	4
grp-11	T3	13	4
grp-11	T3	14	3
grp-11	T3	15	3
grp-11	T3	16	3
grp-12	T1	0	2
grp-12	T1	1	2
grp-12	T1	2	2
grp-12	T1	3	3
grp-12	T1	6	2
grp-12	T1	7	3
grp-12	T1	8	0
grp-12	T1	9	3
grp-12	T1	10	3
grp-12	T1	11	3
grp-12	T1	12	3
grp-12	T1	13	3
grp-12	T1	14	3
grp-12	T1	15	3
grp-12	T1	16	3
grp-12	T1	17	3
grp-12	T1	18	3
grp-12	T1	19	3
grp-12	T1	20	2
grp-12	T2	0	2
grp-12	T2	1	2
grp-12	T2	2	3
grp-12	T2	3	2
grp-12	T2	4	1
grp-12	T2	5	0
grp-12	T2	6	0
grp-12	T2	7	3
grp-12	T2	8	0
grp-12	T2	9	0
grp-12	T2	10	0
grp-12	T2	11	0
grp-12	T2	12	0
grp-12	T2	13	0
grp-12	T2	14	3
grp-12	T2	15	3
grp-12	T2	16	3
grp-12	T2	17	4
grp-12	T2	18	3
grp-12	T2	19	3
grp-12	T2	20	4
grp-12	T2	21	3
