# 	 group_id	 task_id	 onset_a	 speaker_a	 text_a                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	 speaker_b	 text_b                                                                                                                                                                                                                                                                                                                                                          	 gap_s 	 is_completion
 1	 grp-07  	 T2     	 290.0  	 P1       	 So we could actually choose one of them which actually makes the most sense, and I think...                                                                                                                                                                                                                                                                                                                                                                                               	 P4       	 Yeah, I agree, which is one of them.                                                                                                                                                                                                                                                                                                                            	 -5.04 	 repetition
 2	 grp-07  	 T2     	 587.112	 P1       	 And the quiz is like, if you don't do it once, you know the answers for the next time, and then you...                                                                                                                                                                                                                                                                                                                                                                                    	 P2       	 That depends on which department you are working in. I think with the continue, continue, because there are some departments that are really using these online trainings and the quizzes,                                                                                                                                                                      	 0.8   	 no
 3	 grp-07  	 T2     	 796.917	 P1       	 So I think something like an interactive workshop, again in my opinion, would actually create some good output in terms of the knowledge and stuff. So, uuh, if...                                                                                                                                                                                                                                                                                                                        	 P3       	 So we give it a vote. I think we are out of time. So with the online training                                                                                                                                                                                                                                                                                   	 -0.9  	 no
 4	 grp-10  	 T2     	 420.143	 P3       	 yeah what type of information they need and sometimes it's easier to adjust it to yourself if you do a more traditional lecture or maybe some online training that's more personalized in a way, would be my...                                                                                                                                                                                                                                                                           	 P1       	 But sometimes like to improve collaboration, I think things shouldn't be too formal.                                                                                                                                                                                                                                                                            	 1.46  	 no
 5	 grp-10  	 T3     	 415.725	 P2       	 And third idea was bowling and or ice skating where it could be...                                                                                                                                                                                                                                                                                                                                                                                                                        	 P3       	 At the same time?                                                                                                                                                                                                                                                                                                                                               	 0.98  	 no
 6	 grp-10  	 T3     	 595.174	 P1       	 So do we narrow it down to three or...                                                                                                                                                                                                                                                                                                                                                                                                                                                    	 P2       	 Or one.                                                                                                                                                                                                                                                                                                                                                         	 0.43  	 yes
 7	 grp-14  	 T1     	 436.591	 P4       	 Now it's...                                                                                                                                                                                                                                                                                                                                                                                                                                                                               	 P1       	 We shouldn't ask that.                                                                                                                                                                                                                                                                                                                                          	 -0.86 	 no
 8	 grp-14  	 T1     	 460.551	 P3       	 So....                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	 P2       	 Yeah.                                                                                                                                                                                                                                                                                                                                                           	 -0.0  	 no
 9	 grp-14  	 T1     	 606.733	 P3       	 So we decided candidate C. If...                                                                                                                                                                                                                                                                                                                                                                                                                                                          	 P4       	 Yeah.                                                                                                                                                                                                                                                                                                                                                           	 0.44  	 no
10	 grp-14  	 T2     	 286.382	 P1       	 It depends which position you are, but...                                                                                                                                                                                                                                                                                                                                                                                                                                                 	 P3       	 Yeah, for me, maybe how to work better across teams or how to manage stress and workload at work.                                                                                                                                                                                                                                                               	 1.09  	 no
11	 grp-14  	 T2     	 685.608	 P1       	 So...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     	 P4       	 Yeah, I would go for the fourth one.                                                                                                                                                                                                                                                                                                                            	 -0.54 	 no
12	 grp-15  	 T1     	 337.439	 P4       	 Yeah, it doesn't really say anything about...                                                                                                                                                                                                                                                                                                                                                                                                                                             	 P2       	 no                                                                                                                                                                                                                                                                                                                                                              	 -0.99 	 no
13	 grp-15  	 T1     	 371.0  	 P3       	 I mean, I was only missing the bit of the amount of experience, I would say, to say that that quote is almost exactly the same as what I have here for Candidate C. Like someone who basically...                                                                                                                                                                                                                                                                                         	 P1       	 I think it sounds good.                                                                                                                                                                                                                                                                                                                                         	 -7.48 	 no
14	 grp-15  	 T2     	 177.0  	 P1       	 I don't know, what do you guys think about the...                                                                                                                                                                                                                                                                                                                                                                                                                                         	 P3       	 Yeah.                                                                                                                                                                                                                                                                                                                                                           	 2.0   	 no
15	 grp-15  	 T2     	 513.0  	 P3       	 And...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	 P1       	 All right, so we're leaning towards number two.                                                                                                                                                                                                                                                                                                                 	 -4.24 	 no
16	 grp-15  	 T2     	 628.589	 P2       	 Maybe a compromise could be like having, if it's like a lecture or something scheduled in the calendar. And then you could also if it’s recorded or something then you can look at it in your own time if the meetings are...                                                                                                                                                                                                                                                             	 P1       	 It's just, I don't know, I just feel like if we have to talk about how to work better across teams, I guess you solve that topic by talking in workshops with the teams rather than having one giving a lecture about how to work in your team.                                                                                                                 	 0.0   	 no
17	 grp-15  	 T2     	 711.0  	 P1       	 Then please, why don't you fill in the...                                                                                                                                                                                                                                                                                                                                                                                                                                                 	 P4       	 Would you do it again?                                                                                                                                                                                                                                                                                                                                          	 0.0   	 no
18	 grp-15  	 T3     	 543.181	 P1       	 I also like the launchable instrument thing. And also...                                                                                                                                                                                                                                                                                                                                                                                                                                  	 P2       	 I like something that you could do during the day                                                                                                                                                                                                                                                                                                               	 0.9   	 no
19	 grp-15  	 T3     	 615.903	 P1       	 So, I guess it's either 2-1 or 3-1, if I would have to...                                                                                                                                                                                                                                                                                                                                                                                                                                 	 P2       	 Do we only have to choose one?                                                                                                                                                                                                                                                                                                                                  	 -2.02 	 no
20	 grp-15  	 T3     	 697.302	 P2       	 Ok so P....                                                                                                                                                                                                                                                                                                                                                                                                                                                                               	 P1       	 P2-1                                                                                                                                                                                                                                                                                                                                                            	 -1.19 	 yes
21	 grp-16  	 T1     	 496.272	 P3       	 But we have to decide by...                                                                                                                                                                                                                                                                                                                                                                                                                                                               	 P4       	 Yeah, there.                                                                                                                                                                                                                                                                                                                                                    	 -0.98 	 no
22	 grp-16  	 T1     	 580.0  	 P4       	 It seems like...                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	 P3       	 Yeah, it's three to one, yeah.                                                                                                                                                                                                                                                                                                                                  	 -2.27 	 no
23	 grp-16  	 T2     	 278.0  	 P3       	 And I also believe if that is enforced properly, then maybe the fourth point, how to manage stress, that would significantly reduce, so yeah...                                                                                                                                                                                                                                                                                                                                           	 P4       	 maybe maybe not because for some people it shows that it's very stressful to actually you know introduce these tools uh while they are out of control and spinning with the tasks they already have so I think if we want to, you know, look at the usage of AI to increase the productivity                                                                    	 -2.45 	 no
