onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms
1.695	1.963	MODERATOR	You can take a little break, if you need.	SPK		0.005675	1.63	MOD	confident					0
3.658	0.957	GROUP	(1.0)	SIL				shared	manual	0				0
4.615	0.280	P2	Yeah.	SPK		0.025827	4.36	P2	confident	0	957	957		508
4.641	2.666	P4	No, that's okay.	SPK		0.022369	1.72	P4	confident	-254	-254	-254		508
4.641	0.254	P4	[OVL:simultaneous]	OVL	simultaneous			shared	manual	-2666				508
7.307	2.290	GROUP	(2.3)	SIL				shared	manual	2412				0
9.597	7.485	P4	That's just heavy.	SPK		0.010592	2.23	P4	confident	0	2290	4702		0
17.082	0.140	GROUP	(.)	SIL				shared	manual	0				
17.222	0.220	MODERATOR	Okay.	SPK		0.001854	1.64	MOD	confident	0	140	140		
17.442	0.301	GROUP	(0.3)	SIL				shared	manual	0				
17.743	2.721	MODERATOR	So we can start the second task.	SPK		0.003145	1.17	MOD	confident	0	301	661		
20.484	2.202	MODERATOR	This is a negotiation task.	SPK		0.003936	1.33	MOD	confident	20	20	3402		
22.686	0.280	GROUP	(0.3)	SIL				shared	manual	0				
22.966	7.465	MODERATOR	And you have to imagine that your group has been assigned responsible for planning an internal workshop for GN employees.	SPK		0.003117	1.33	MOD	confident	0	280	5884		
30.431	0.640	GROUP	(0.6)	SIL				shared	manual	0				
31.071	4.884	MODERATOR	And you need to decide both on the topic of this workshop and on its format.	SPK		0.003534	1.35	MOD	confident	0	640	13989		
35.955	0.740	GROUP	(0.7)	SIL				shared	manual	0				
36.695	17.684	MODERATOR	You will all receive a private role card where you will have a priority either for the topic or for the format and you have to try to advocate more for what is your priority and also you will be listed with some preferences that will guide you through the conversation and the negotiation.	SPK		0.003950	1.43	MOD	confident	0	740	19613		0
54.379	1.160	GROUP	(1.2)	SIL				shared	manual	0				0
55.539	10.543	MODERATOR	Again you cannot show your role card to the others but of course you can play your role as it is shown in the card and at the end you have to agree on one topic and one format.	SPK		0.004715	1.46	MOD	confident	0	1160	38457		
66.082	1.652	GROUP	(1.7)	SIL				shared	manual	0				
67.734	1.060	MODERATOR	Do you have any questions?	SPK		0.003137	1.34	MOD	confident	0	1652	50652		
68.794	3.341	GROUP	(3.3)	SIL				shared	manual	0				
72.135	8.743	MODERATOR	If not, I will send the roll cards and with the roll cards I will also display the formats and the topics.	SPK		0.004904	1.73	MOD	confident	0	3341	55053		
80.878	0.479	GROUP	(0.5)	SIL				shared	manual	0				
81.357	7.207	MODERATOR	You can take some time to read them and without me saying it, you can start a conversation when you feel like it's the right time.	SPK		0.004464	1.17	MOD	confident	0	479	64275		
88.564	92.128	GROUP	(92.1)	SIL				shared	manual	0				
180.692	0.389	P2	Okay.	SPK				P2	manual	0	92128	92128		0
181.081	10.226	GROUP	(10.2)	SIL				shared	manual	0				0
191.307	1.152	P2	What are your thoughts?	SPK				P2	manual	0	10226	102743		
192.459	1.409	GROUP	(1.4)	SIL				shared	manual	0				
193.868	1.568	P2	For the workshop?	SPK				P2	manual	0	1409	105304		
195.436	1.120	GROUP	(1.1)	SIL				shared	manual	0				
196.556	0.050	P2	Do you have any ideas?	SPK				P2	manual	0	1120	107992		0
196.606	1.151	GROUP	(1.2)	SIL				shared	manual	0				0
197.757	2.181	P4	Well, should we maybe start with a topic?	SPK		0.020295	8.53	P4	confident	0	1151	1151		0
199.938	0.120	GROUP	(.)	SIL				shared	manual	0				0
200.058	5.124	P4	Because I think the topic influences the format somehow.	SPK		0.020937	3.16	P4	confident	0	120	3452		1098
200.165	0.720	P1	Mhm, yeah.	BCK				P1	manual	-5017			107	1098
200.446	0.378	P2	Mhm.	BCK				P2	manual	-439			388	756
205.182	1.040	GROUP	(1.0)	SIL				shared	manual	4358				
206.222	0.740	P2	Yeah, exactly.	SPK		0.040466	2.83	P2	confident	0	1040	1040		0
206.962	3.388	GROUP	(3.4)	SIL				shared	manual	0				612
207.032	0.452	P3	Mhm.	BCK				P3	manual	-3318				612
207.283	0.160	P2	Yeah.	BCK		0.007219	2.94	P2	confident	-201				320
210.350	14.207	P3	But I think it's clear that we should choose perhaps the first bullet point here, how to use AI for productivity in daily tasks, because that's really what our group needs now.	SPK		0.036392	5.64	P3	confident	2907	3388	3388		
224.557	1.441	GROUP	(1.4)	SIL				shared	manual	0				
225.998	1.381	P3	No doubt in my mind, I would say.	SPK		0.031313	4.59	P3	confident	0	1441	19036		
227.379	0.902	GROUP	(0.9)	SIL				shared	manual	0				
228.281	2.128	P1	It is useful... yeah.	SPK		0.017983	2.83	P1	confident	0	902	902		
230.409	1.255	GROUP	(1.3)	SIL				shared	manual	0				251
230.606	0.251	P3	Yeah.	BCK				P3	manual	-1058				251
