onset	duration	speaker	text	type	subtype	energy	energy_ratio	mic	confidence	gap_prev_ms	trp_silence_ms	interruption_gap_ms	bclatency_ms	overlap_ms	context_label
183.0	22.029	MODERATOR	now we can discuss the information that you have but please keep in mind that you are not allowed to read word by word from your information but you can summarize it rephrase it paraphrase it and share the information in another format the stage is yours	SPK				shared	confident					1029.0	
204.0	1.0	P4	okay	BCK				shared	confident	-1029.0			21000.0	1000.0	
205.0	1.0	P3	okay	BCK				shared	confident	0.0			22000.0	1000.0	
205.029	0.971	GROUP	(1.0)	SIL				shared	confident	-971.0				971.0	
206.0	9.0	P4	so um does anyone already have a favorite candidate from what you read from the profiles?	SPK				shared	confident	0.0	971.0	971.0			
215.0	3.539	P1	Yeah, I think all those three candidates are quite competent.	SPK				shared	confident	0.0	0.0	0.0		539.0	
218.0	1.0	P3	yeah	BCK				shared	confident	-539.0			3000.0	1000.0	
218.539	0.461	GROUP	(0.5)	SIL				shared	confident	-461.0				461.0	
219.0	5.0	P3	and all three of them have like very different skills all together	SPK				shared	confident	0.0	461.0	461.0			
224.0	26.0	P4	Yeah, actually my least favorite is the first one, because I mean, that's very generic knowledge of project management and coordination in teams, and very limited knowledge of any IT systems, AI tools, which I am not saying that the person we would choose would have to be, you know, technically strong candidate when it comes to	SPK				shared	confident	0.0	0.0	0.0			
250.0	11.856	P4	knowledge of AI and the different tools, but I do believe that some technical knowledge at least would be good to have and not to learn everything from scratch.	SPK				shared	confident	0.0	0.0	26000.0		1171.0	
258.288	1.171	P3	yes	BCK				shared	confident	-3568.0			8288.0	1171.0	
261.856	7.144	GROUP	(7.1)	SIL				shared	confident	2397.0					
269.0	9.0	P3	I agree and also the role focuses mainly on implementing the AI tools across the different teams.	SPK				shared	confident	0.0	7144.0	7144.0			
278.0	16.386	P3	So we have a candidate here who has been on the toes about explaining why AI is necessary and how to do and he has also been facilitating between different teams to get stuffs onboarded.	SPK				shared	confident	0.0	0.0	16144.0		1331.0	
284.709	1.331	P4	mm-hmm	BCK				shared	confident	-9677.0			6709.0	1331.0	
294.386	1.614	GROUP	(1.6)	SIL				shared	confident	8346.0					
296.0	14.0	P3	So looking into the role and the explanation, candidate C has that kind of an inclination, but then candidate B is also very technically sound here.	SPK				shared	confident	0.0	1614.0	34144.0			
310.0	0.851	GROUP	(0.9)	SIL				shared	confident	0.0					
310.851	5.149	P3	So he has a strong hold on Python and other languages.	SPK				shared	confident	0.0	851.0	48995.0		500.0	
310.851	0.5	P4	mmh	BCK				shared	confident	-5149.0			0.0	500.0	
316.0	23.0	P4	I guess the question is if the person will be more of a in a management role right where they need to coordinate different stakeholders have certain understanding but be more of a people person right who will explain will have patience will tackle resistance whenever	SPK				shared	confident	4649.0	0.0	0.0			
339.0	17.0	P4	we will do the rollout or if we really need the technical skills which we already have in the company and i guess those people will be the ones uh doing the the development so uhm i would say we also need more of a people person	SPK				shared	confident	0.0	0.0	23000.0			
356.0	1.0	P3	yes	BCK				shared	confident	0.0				1000.0	
356.0	1.0	GROUP	(1.0)	SIL				shared	confident	-1000.0				1000.0	
357.0	1.731	P2	I definitely agree.	SPK				shared	confident	0.0	1000.0	1000.0		1731.0	
357.0	2.0	P2	definitely	BCK				shared	confident	-1731.0				2000.0	
358.731	0.269	GROUP	(0.3)	SIL				shared	confident	-269.0				269.0	
